1960 85987720.923627
1961 89180060.652173
1962 92372400.380719
1963 95564740.109265
1964 98757079.837811
1965 101949419.566357
1966 105141759.294903
1967 108334099.023449
1968 111526438.751995
1969 114718778.480541
1970 117911118.209087
1971 121103457.937633
1972 124295797.666179
1973 127488137.394725
1974 130680477.123271
1975 133872816.851817
1976 137065156.580363
1977 140257496.308909
1978 143449836.037455
1979 146642175.766001
1980 149834515.494547
1981 153026855.223093
1982 156219194.951639
1983 159411534.680185
1984 162603874.408731
1985 165796214.137277
1986 168988553.865822
1987 172180893.594368
1988 175373233.322914
1989 178565573.051460
1990 181757912.780006
1991 184950252.508552
1992 188142592.237098
1993 191334931.965644
1994 194527271.694190
1995 197719611.422736
1996 200911951.151282
1997 204104290.879828
1998 207296630.608374
1999 210488970.336920
2000 213681310.065466
2001 216873649.794012
2002 220065989.522558
2003 223258329.251104
2004 226450668.979650
2005 229643008.708196
2006 232835348.436742
2007 236027688.165288
2008 239220027.893834
2009 242412367.622380
2010 245604707.350926
2011 248797047.079472
2012 251989386.808018
2013 255181726.536563
2014 258374066.265109
2015 261566405.993655
2016 264758745.722201
2017 267951085.450747
2018 271143425.179293
2019 274335764.907839
2020 277528104.636385
2021 280720444.364931
2022 283912784.093477
2023 287105123.822023
